emp_no,dept_no,first_name,last_name,title,dept_name,salary
56558,d003,Satyanarayana,Ghazalie,Senior Staff,Human Resources,40000
56562,d002,Fuqing,Hennings,Senior Staff,Finance,63907
56565,d004,Odinaldo,Hiltgen,Senior Engineer,Production,51502
56575,d004,Berry,Simkin,Engineer,Production,57045
56581,d007,Zhenbing,Cappello,Senior Staff,Sales,84306
57169,d003,Kiam,Schiper,Senior Staff,Human Resources,49276
57176,d004,Pranav,Stenning,Senior Engineer,Production,40000
57178,d007,Oldrich,Rousseau,Senior Staff,Sales,84334
57188,d008,Taiji,Juneja,Senior Staff,Research,40000
57210,d001,Odinaldo,Veccia,Senior Staff,Marketing,72275
57211,d005,Uta,Undy,Senior Engineer,Development,40000
57217,d005,Freyja,Sommer,Engineer,Development,42425
57223,d005,Danel,Copas,Engineer,Development,72443
57234,d001,Junsik,Veldwijk,Senior Staff,Marketing,72060
57242,d005,Tetsushi,Lowrie,Senior Staff,Development,53564
57246,d001,Uinam,Bamford,Senior Staff,Marketing,45547
57261,d004,Xinan,Usdin,Senior Engineer,Production,55820
57262,d007,Steve,Yavatkar,Senior Staff,Sales,69222
57269,d003,Tesuro,Berztiss,Senior Staff,Human Resources,46054
57294,d008,Sariel,Engelmann,Staff,Research,61930
57297,d001,Tamiya,Benaini,Senior Staff,Marketing,74639
57596,d007,Shigehito,Schahn,Senior Staff,Sales,67634
57603,d005,Arunas,Frezza,Senior Engineer,Development,61488
57609,d005,Greger,Casperson,Technique Leader,Development,40000
57612,d002,Raimond,Rousseau,Senior Staff,Finance,96828
57616,d008,Akeno,Bergere,Staff,Research,52975
57620,d006,Along,Kragelund,Technique Leader,Quality Management,40000
57629,d007,Gretta,Vendrig,Senior Staff,Sales,56198
57658,d003,Maja,Bahk,Senior Staff,Human Resources,53071
57664,d005,Gladys,England,Senior Engineer,Development,54591
57670,d005,Poornachandra,Perz,Senior Engineer,Development,51269
57672,d004,Stevo,Peltason,Engineer,Production,46270
57676,d009,Alper,Noriega,Senior Staff,Customer Service,58073
57680,d004,Tse,Herath,Senior Engineer,Production,68044
57689,d003,Shuzo,Rosch,Senior Staff,Human Resources,40000
57706,d001,Kolar,Quaggetto,Senior Staff,Marketing,48784
57715,d003,Shaibal,Chinen,Senior Staff,Human Resources,40000
57716,d005,Kristinn,Schmiedel,Senior Engineer,Development,48622
57720,d006,Subhankar,Hasham,Technique Leader,Quality Management,40000
57869,d005,Martine,Perl,Senior Engineer,Development,51324
57870,d005,Yurii,Georgatos,Senior Engineer,Development,40000
57877,d005,Brigham,Delgrande,Senior Engineer,Development,74055
57882,d001,Marsal,Bressoud,Senior Staff,Marketing,62113
57883,d006,Uma,Danlos,Senior Engineer,Quality Management,40000
57893,d005,Khalid,Tasistro,Senior Engineer,Development,40000
57898,d005,Atilio,Pearson,Senior Engineer,Development,45633
57915,d003,Aral,Kermarrec,Senior Staff,Human Resources,40000
57919,d003,Eckart,Fiutem,Senior Staff,Human Resources,74442
57929,d004,Gro,Debuse,Senior Engineer,Production,55208
57945,d005,Tsvetan,Merlo,Senior Engineer,Development,56883
57949,d007,Oldrich,Pezzoli,Staff,Sales,70731
57959,d009,Tooru,Cyre,Senior Staff,Customer Service,40000
57968,d005,Froduald,Perng,Engineer,Development,46898
57980,d005,Shay,Matheson,Senior Engineer,Development,47878
57983,d001,Ranga,Iisaku,Senior Staff,Marketing,40000
57990,d004,Haldun,Buescher,Senior Engineer,Production,40000
57996,d007,Zhonghua,Xiaoshan,Staff,Sales,100072
58007,d004,Nitsan,Zlotek,Senior Engineer,Production,54854
58151,d005,Masanao,Smeets,Senior Engineer,Development,40470
58161,d009,Akhilish,Karner,Senior Engineer,Customer Service,40000
58177,d009,Vidar,Basagni,Senior Staff,Customer Service,40000
58182,d005,Gennady,Kroft,Senior Engineer,Development,41694
58197,d004,Sahrah,Suri,Senior Engineer,Production,51526
58199,d007,Yechiam,Karnin,Staff,Sales,52140
58201,d005,Willard,Bashian,Senior Engineer,Development,68157
58226,d007,Ayonca,Gill,Staff,Sales,95796
58227,d005,Armond,Bierbaum,Assistant Engineer,Development,40000
58231,d007,Marjo,Pauthner,Senior Staff,Sales,92035
58238,d002,Bartek,Farris,Senior Staff,Finance,75561
58280,d005,Manohar,Peris,Senior Engineer,Development,78088
58434,d005,Aluzio,Melton,Engineer,Development,78661
58437,d007,Maya,Rusterholz,Senior Staff,Sales,57159
58446,d001,Xiaoqiang,Reghbati,Senior Staff,Marketing,77912
58457,d004,Yuping,Delaune,Technique Leader,Production,64272
58458,d007,Turgut,Koshiba,Senior Staff,Sales,47278
58460,d007,Mart,Wixon,Senior Staff,Sales,64850
58462,d007,Ronnie,Paciorek,Senior Staff,Sales,52453
58468,d001,Lucian,Limongiello,Senior Staff,Marketing,65988
58475,d004,Angel,Chaudhury,Senior Engineer,Production,40000
58499,d005,Marjo,Pileggi,Senior Engineer,Development,41821
58509,d007,Anneli,Laurillard,Senior Staff,Sales,72792
58515,d002,Radhia,Hertweck,Senior Staff,Finance,40000
58516,d007,Xianlong,Knightly,Senior Staff,Sales,70580
58518,d005,Along,Perfilyeva,Senior Engineer,Development,65858
58523,d004,Prasadram,Bazelow,Senior Engineer,Production,40000
58524,d005,Jaideep,Sidhu,Senior Engineer,Development,40000
58536,d004,Tetsurou,Ullian,Senior Engineer,Production,41982
58541,d001,Anneli,Pouyioutas,Staff,Marketing,48986
58543,d004,Gully,Beausoleil,Senior Engineer,Production,41223
58567,d007,Eric,Scallan,Senior Staff,Sales,84035
58570,d002,Suebskul,Blokdijk,Senior Staff,Finance,65513
58575,d005,Pasqua,Pfau,Senior Engineer,Development,40900
58576,d004,Xianlong,Fraisse,Senior Engineer,Production,52093
58864,d004,Tonia,Plumb,Senior Engineer,Production,40000
58879,d004,Cathie,Ushiama,Senior Engineer,Production,73255
58892,d001,Masami,Cyne,Senior Staff,Marketing,62673
58934,d006,Bouchung,Hardjono,Senior Engineer,Quality Management,40000
58959,d007,Younwoo,Gecseg,Senior Staff,Sales,78003
58970,d005,Yongmin,Waterhouse,Senior Engineer,Development,45083
58973,d005,Marke,Decleir,Senior Engineer,Development,46298
58981,d007,Kazuhiko,Kushner,Senior Staff,Sales,81795
58991,d002,Annemarie,Schaap,Staff,Finance,94957
58996,d005,Sven,Dengi,Senior Engineer,Development,40000
59145,d005,Tzu,Birch,Senior Engineer,Development,40078
59166,d005,Charlene,Bernardinello,Senior Engineer,Development,50701
59176,d007,Teiji,Suessmith,Senior Staff,Sales,75778
59183,d005,Kotesh,Cronau,Senior Engineer,Development,56473
59192,d004,Luisa,Schusler,Engineer,Production,58121
59206,d009,Shan,Wroclawski,Senior Engineer,Customer Service,40313
59210,d004,Florian,Carrera,Technique Leader,Production,67167
56643,d003,Jayson,Ghazalie,Senior Staff,Human Resources,44199
56659,d004,Takahiro,Lanteri,Assistant Engineer,Production,40000
56663,d004,Eben,Takanami,Senior Engineer,Production,40000
56678,d007,Murthy,McAffer,Senior Staff,Sales,68816
56684,d006,Qiwen,Yoshizawa,Senior Engineer,Quality Management,40000
56692,d004,Theirry,Serre,Senior Engineer,Production,40000
56693,d007,Vesna,Halloran,Senior Staff,Sales,75602
56694,d005,Aram,Godskesen,Technique Leader,Development,59613
56701,d007,KayLiang,Kobuchi,Senior Staff,Sales,55597
56702,d006,Jinpo,Plessier,Engineer,Quality Management,42763
56706,d001,Zita,Rodier,Senior Staff,Marketing,40000
56715,d005,Rasiah,Gurbaxani,Senior Engineer,Development,74491
56726,d007,Chuanti,Schmiedel,Senior Staff,Sales,87032
56732,d008,Uma,Sudkamp,Senior Staff,Research,40000
56733,d003,Qiwen,Siepmann,Senior Staff,Human Resources,45258
56740,d005,Sashi,Vuskovic,Senior Engineer,Development,40771
56744,d004,Yongqiao,Schwaller,Senior Engineer,Production,48670
56745,d004,Shai,Pulkowski,Technique Leader,Production,40000
56759,d003,Fen,Gyimothy,Staff,Human Resources,40000
56763,d007,Mahendra,Cangellaris,Senior Staff,Sales,78593
56767,d001,Mark,Trelles,Senior Staff,Marketing,44464
56790,d004,Mayuko,Walston,Technique Leader,Production,51342
56804,d005,Arra,Heinisuo,Senior Engineer,Development,71519
56808,d003,Yuriy,Anick,Senior Staff,Human Resources,40000
56809,d005,Dinkar,Ranon,Senior Engineer,Development,40000
56818,d004,Venkatesan,Imataki,Engineer,Production,40000
56826,d004,Marsha,Ghandeharizadeh,Engineer,Production,57053
56831,d005,Zvonko,Baaz,Senior Engineer,Development,55845
56844,d004,Kiyotoshi,Malabarba,Engineer,Production,40000
56862,d007,Ymte,Thimonier,Senior Staff,Sales,59713
56873,d009,Jaber,Delgrande,Technique Leader,Customer Service,47104
56879,d008,Arne,Junet,Senior Staff,Research,40000
56883,d008,Honglan,Busillo,Senior Staff,Research,59504
56887,d007,Fabrizio,Itschner,Senior Staff,Sales,53241
56893,d004,Jixiang,Bhattacharjee,Senior Engineer,Production,46303
56899,d008,Shiv,Steinauer,Senior Staff,Research,40000
56905,d007,Insup,Genin,Senior Staff,Sales,71558
56923,d009,Djelloul,Zuberek,Senior Staff,Customer Service,47336
56925,d007,Sverrir,Kilgore,Senior Staff,Sales,74312
56936,d005,Bernice,Wendorf,Senior Engineer,Development,40000
56938,d001,Thodoros,Flowers,Senior Staff,Marketing,42399
56950,d007,Saeed,Edelhoff,Staff,Sales,78446
56952,d005,Itzchak,Leppanen,Senior Engineer,Development,60584
56954,d009,Reuven,Peir,Senior Staff,Customer Service,40000
56961,d009,Guoxiang,Peyn,Staff,Customer Service,91125
56984,d004,Guiseppe,Erni,Senior Engineer,Production,40000
56985,d001,Pranav,Bolotov,Senior Staff,Marketing,44838
57000,d007,Toshiko,Lortz,Senior Staff,Sales,99120
57004,d004,Guther,Peris,Engineer,Production,61693
57006,d004,Dung,Middleton,Senior Engineer,Production,41975
57022,d005,Michaela,Keustermans,Senior Engineer,Development,40000
57026,d005,Tuval,Gyimothy,Technique Leader,Development,40000
57040,d007,Arup,Lagarias,Senior Staff,Sales,79308
57043,d005,Jaber,Falco,Senior Engineer,Development,40000
57048,d009,Sanjay,Suomi,Senior Staff,Customer Service,40000
57064,d005,Arco,Serov,Senior Engineer,Development,40000
57068,d004,Mari,Rabehasaina,Senior Engineer,Production,40000
57071,d004,Wilmer,Stenning,Senior Engineer,Production,40000
57075,d009,Alexius,Duclos,Senior Staff,Customer Service,40000
57078,d004,Itzchak,Polupanov,Senior Engineer,Production,40000
57079,d005,Shay,Rassart,Senior Engineer,Development,70130
57110,d007,Gou,Stellhorn,Senior Staff,Sales,75574
57111,d005,Armond,Suermann,Senior Engineer,Development,40000
57115,d005,Nirmal,Zobel,Engineer,Development,60760
57118,d005,Xinan,Champarnaud,Engineer,Development,48977
57119,d003,Aleksandar,Bondorf,Senior Staff,Human Resources,52304
57123,d005,Fatemeh,Zedlitz,Engineer,Development,42556
57153,d002,Rosine,Azumi,Senior Staff,Finance,80425
57312,d004,Muzhong,Preusig,Engineer,Production,51026
57314,d004,Ymte,Zyda,Senior Engineer,Production,59072
57331,d006,Visit,Passino,Senior Engineer,Quality Management,60828
57335,d001,Francoise,Casperson,Senior Staff,Marketing,40000
57337,d004,Vasiliy,Rabehasaina,Senior Engineer,Production,62357
57338,d007,Mostafa,Rouquie,Senior Staff,Sales,65175
57342,d004,Arnd,Krychniak,Technique Leader,Production,64880
57350,d004,Aluzio,Georgakopoulos,Senior Engineer,Production,40000
57355,d006,Shahar,Condotta,Engineer,Quality Management,53670
57373,d007,Mabry,Zhiwei,Senior Staff,Sales,67731
57377,d005,Adel,Slobodova,Engineer,Development,40000
57380,d005,Bodh,Verhoeff,Senior Engineer,Development,40000
57384,d004,Chirstian,Birch,Engineer,Production,58928
57397,d002,Xiaocheng,Hmelo,Senior Staff,Finance,69434
57426,d005,Yannik,Lorch,Technique Leader,Development,40000
57442,d005,Arvin,Klassen,Senior Engineer,Development,41450
57450,d007,Shridhar,Lagarias,Senior Staff,Sales,81930
57464,d009,Weidon,Benveniste,Senior Engineer,Customer Service,66008
57472,d004,Stepehn,Willoner,Technique Leader,Production,40000
57475,d003,Parviz,Takanami,Senior Staff,Human Resources,44777
57476,d007,Badri,Staudhammer,Senior Staff,Sales,79387
57485,d009,Georgy,Ligten,Senior Staff,Customer Service,40000
57487,d003,Yefim,Majewski,Senior Staff,Human Resources,50024
57489,d005,Jaihie,Benaini,Senior Engineer,Development,63167
57492,d007,Parto,Miyakawa,Senior Staff,Sales,40000
57508,d007,Muneo,Rousseau,Senior Staff,Sales,51043
57511,d001,Weidon,Crabtree,Senior Staff,Marketing,83435
57513,d005,Zorica,Merli,Senior Engineer,Development,40000
57524,d009,Masamitsu,Chartres,Senior Staff,Customer Service,40000
57525,d007,Herbert,Dechter,Senior Staff,Sales,63116
57531,d006,Tonia,Tomescu,Senior Engineer,Quality Management,60218
57532,d009,Yannis,Cochrane,Senior Engineer,Customer Service,40000
57535,d004,Dante,Petereit,Engineer,Production,40000
57540,d005,Shounak,Armand,Engineer,Development,40000
57544,d005,Gererd,Lammel,Senior Engineer,Development,47378
57561,d002,Mototsugu,Munos,Senior Staff,Finance,52211
57566,d005,Masami,Barinka,Engineer,Development,40000
57740,d005,Georgi,Osgood,Senior Engineer,Development,67944
57749,d008,Luisa,Conte,Senior Staff,Research,40000
57751,d005,Dulce,Maksimenko,Technique Leader,Development,42782
57756,d003,Kwok,Ghalwash,Senior Staff,Human Resources,40000
57768,d007,Izaskun,Talmor,Senior Staff,Sales,48811
57769,d009,Youpyo,Vickson,Senior Staff,Customer Service,40949
57780,d009,Martial,Androutsos,Senior Staff,Customer Service,57530
57795,d008,Magy,Tetzlaff,Senior Staff,Research,40000
57815,d002,JiYoung,Munawer,Senior Staff,Finance,84520
57821,d007,Alejandra,Bolotov,Senior Staff,Sales,95710
57834,d005,Hideyuki,Demeyer,Senior Engineer,Development,40000
57837,d005,Aria,Murtafg,Senior Engineer,Development,40000
57847,d008,Moon,Kornatzky,Senior Staff,Research,58112
57850,d001,Ayakannu,Kawashima,Staff,Marketing,58668
57865,d005,Kazuhiro,Demian,Senior Engineer,Development,40000
58010,d007,Gennady,Broder,Senior Staff,Sales,53515
58024,d005,Naftaly,Berztiss,Senior Engineer,Development,40000
58027,d005,Yakkov,Luef,Senior Engineer,Development,50572
58035,d005,Jenwei,Speckmann,Senior Engineer,Development,57073
58053,d007,Zissis,Karunanithi,Senior Staff,Sales,72883
58059,d004,Behnaam,Zwicker,Senior Engineer,Production,41917
58080,d007,Hideyuki,Birta,Senior Staff,Sales,78715
58087,d002,Narain,Szilard,Senior Staff,Finance,59678
58094,d005,Danil,Katiyar,Engineer,Development,40000
58096,d007,Rosine,Usdin,Staff,Sales,108753
58099,d002,Yunming,Fortenbacher,Staff,Finance,61351
58102,d004,Aiichiro,Erni,Technique Leader,Production,40000
58115,d005,Manu,Peir,Senior Engineer,Development,44295
58123,d001,Zhaofang,Isard,Senior Staff,Marketing,75236
58125,d005,Xiaoshan,Cesareni,Senior Engineer,Development,51416
58129,d007,Chuanyi,Schnabel,Senior Staff,Sales,44924
58132,d007,Zdislav,Kawashimo,Senior Staff,Sales,90688
58136,d005,Lidong,Tsunoo,Engineer,Development,40000
58300,d005,Frazer,Picco,Senior Staff,Development,40000
58301,d003,Gift,Lindqvist,Senior Staff,Human Resources,54563
58317,d005,Eric,Kenevan,Engineer,Development,43595
58325,d005,Kokou,Riexinger,Senior Engineer,Development,41626
58335,d008,Chenye,Brodie,Senior Staff,Research,41779
58346,d001,Ibibia,Lambe,Senior Staff,Marketing,63599
58352,d004,Soenke,Hatcliff,Senior Engineer,Production,40000
58357,d004,Djenana,Vecchi,Senior Engineer,Production,46870
58363,d008,Jaideep,Caine,Senior Staff,Research,60654
58366,d006,Akeel,Schnabel,Senior Engineer,Quality Management,66579
58377,d009,Goo,Panienski,Senior Staff,Customer Service,43983
58387,d004,Shaz,Thebaut,Senior Engineer,Production,46577
58388,d006,Aemilian,Parveen,Senior Engineer,Quality Management,40000
58395,d006,Hisao,Apsitis,Technique Leader,Quality Management,41743
58396,d007,Kenton,Billawala,Senior Staff,Sales,70975
58410,d008,Samphel,Bennis,Senior Staff,Research,56996
58414,d008,Shih,Schrift,Senior Staff,Research,44078
58423,d008,Wuxu,Badr,Staff,Research,55807
58427,d007,Guozhong,Frezza,Senior Staff,Sales,57577
58580,d004,Zhiguo,Lienhardt,Senior Engineer,Production,40000
58590,d007,Jayson,Roisin,Senior Staff,Sales,60702
58593,d004,Hatsukazu,Petersohn,Senior Engineer,Production,40000
58608,d001,Jenwei,Khalid,Senior Staff,Marketing,78442
58609,d003,Behnaam,Mawatari,Staff,Human Resources,40000
58620,d007,Toshimori,Rosenbaum,Senior Staff,Sales,97587
58635,d004,Giordano,Rabejac,Senior Engineer,Production,40000
58636,d003,Sandeepan,Chinal,Senior Staff,Human Resources,66319
58637,d004,Mohamadou,Peck,Senior Engineer,Production,67584
58640,d004,Noritoshi,Karcich,Senior Engineer,Production,47171
58646,d006,Froduald,Goodrum,Senior Engineer,Quality Management,43341
58657,d004,Pasqua,Kaltofen,Senior Engineer,Production,40000
58665,d007,Mabhin,Marquardt,Senior Staff,Sales,58861
58678,d005,Vivian,Zwicker,Senior Engineer,Development,56911
58689,d003,Zengping,Ushiama,Senior Staff,Human Resources,50527
58691,d002,Narain,England,Senior Staff,Finance,53830
58694,d007,Kasidit,Kragelund,Senior Staff,Sales,55884
58696,d001,Zsolt,Ruemmler,Senior Staff,Marketing,55110
58727,d005,Junichi,Rullman,Senior Engineer,Development,54576
58728,d005,Boguslaw,Parfitt,Senior Engineer,Development,40384
58735,d005,Krassimir,Mayerwieser,Engineer,Development,45997
58773,d006,Geoffry,Yavatkar,Engineer,Quality Management,40000
58787,d005,Kristina,Erie,Engineer,Development,40000
58788,d005,Shmuel,Anger,Senior Engineer,Development,41022
58789,d005,Hercules,Cochrane,Senior Engineer,Development,54288
58790,d007,Peternela,Zockler,Senior Staff,Sales,58553
58797,d007,Xiaoheng,Breugel,Senior Staff,Sales,64060
58807,d007,Murthy,Koshino,Senior Staff,Sales,40000
58825,d007,JoAnna,Swist,Senior Staff,Sales,83888
58826,d004,Emdad,Peral,Senior Engineer,Production,40000
58830,d004,Uzi,Cunliffe,Senior Engineer,Production,40836
58835,d004,Van,Vigier,Senior Engineer,Production,40000
58836,d006,Constantino,Rahimi,Senior Engineer,Quality Management,45088
58837,d004,Bowen,Waleschkowski,Senior Engineer,Production,40000
58860,d006,Xudong,Lindenbaum,Technique Leader,Quality Management,40000
59016,d005,Terresa,Kornyak,Senior Engineer,Development,74095
59018,d007,Marsal,Liesche,Senior Staff,Sales,55680
59020,d005,Kazunori,Reeker,Senior Engineer,Development,49486
59029,d002,Krassimir,Cmelik,Senior Staff,Finance,48042
59047,d005,Jiong,Botman,Senior Engineer,Development,55318
59060,d009,Pohua,Jakobus,Senior Staff,Customer Service,40000
59078,d005,Licheng,Larfeldt,Senior Engineer,Development,52687
59087,d007,Shakhar,Erdmenger,Senior Staff,Sales,69570
59089,d005,Ramya,Zirintsis,Senior Engineer,Development,65044
59094,d005,Adin,McDermid,Senior Engineer,Development,75660
59107,d006,Anneke,Constantine,Senior Engineer,Quality Management,40000
59212,d007,Koldo,Jeong,Senior Staff,Sales,56722
59227,d008,Adly,Ruemmler,Senior Engineer,Research,66446
59230,d008,Oscar,Krichel,Senior Staff,Research,43148
59236,d004,Siamak,Yurek,Senior Engineer,Production,40000
59237,d009,Gen,Lundstrom,Staff,Customer Service,49993
59242,d007,Fun,Peak,Senior Staff,Sales,65859
59250,d005,Toong,Arlazarov,Technique Leader,Development,49242
59256,d005,Tsvetan,Emiris,Senior Engineer,Development,40000
59268,d009,Berry,Besancenot,Staff,Customer Service,40000
59283,d005,Stevo,Bisiani,Senior Engineer,Development,40000
59859,d004,Shunichi,Henseler,Senior Engineer,Production,57227
59860,d003,Jiang,Parfitt,Senior Staff,Human Resources,40000
59864,d003,Garnik,Wynblatt,Senior Staff,Human Resources,43394
59878,d004,Hitofumi,Gist,Senior Engineer,Production,65063
59883,d006,Sanjiv,Serov,Senior Engineer,Quality Management,40974
59891,d004,Guttorm,Linnainmaa,Senior Engineer,Production,63941
59898,d005,Gao,Iwayama,Senior Engineer,Development,52483
59899,d005,Toong,Schueller,Engineer,Development,66788
59906,d006,Joydip,Binding,Engineer,Quality Management,76816
59911,d001,Remco,Bauknecht,Senior Staff,Marketing,61706
59916,d006,Anneli,Smeets,Senior Engineer,Quality Management,40000
59917,d003,Aris,Majewski,Senior Staff,Human Resources,40000
59919,d003,Koichi,Aloia,Senior Staff,Human Resources,40493
59927,d007,Sedat,Salverda,Senior Staff,Sales,84888
59945,d006,Leen,Kakkad,Senior Engineer,Quality Management,40000
59946,d009,Berhard,Hartvigsen,Senior Staff,Customer Service,40000
59960,d006,Rance,Daescu,Senior Engineer,Quality Management,46695
59961,d009,Hausi,Poulakidas,Senior Staff,Customer Service,50256
59978,d003,Mayumi,Usdin,Senior Staff,Human Resources,49975
59984,d008,Kwangjo,Angiulli,Senior Staff,Research,45176
59986,d005,Gererd,Yoshimura,Senior Engineer,Development,40000
60146,d005,Dines,Clouatre,Engineer,Development,48567
60147,d004,Boaz,Herbst,Technique Leader,Production,46117
60152,d008,Uma,Bashian,Senior Staff,Research,57339
60158,d004,Shim,Hofman,Senior Engineer,Production,53746
60170,d005,Lene,Yetim,Engineer,Development,40000
60175,d005,Hatsukazu,Sankaranarayanan,Senior Engineer,Development,40000
60185,d004,Weiyi,Gruenwald,Senior Engineer,Production,40525
60193,d005,Sanjai,Gronowski,Technique Leader,Development,40000
60197,d001,Harjit,Comellas,Senior Staff,Marketing,54177
60199,d004,Khalid,Conia,Technique Leader,Production,40000
60204,d005,Giri,Macedo,Senior Engineer,Development,57213
60207,d005,Koldo,Mahmud,Engineer,Development,40000
60217,d007,Limsoon,Doering,Senior Staff,Sales,118375
60246,d001,Honesty,Fraisse,Senior Staff,Marketing,59604
60255,d007,Danae,Siochi,Senior Staff,Sales,70562
60259,d007,Chrisa,dAstous,Senior Staff,Sales,80043
60260,d003,Valdiodio,Czap,Senior Staff,Human Resources,58884
60263,d004,Barun,Perng,Senior Engineer,Production,40000
60429,d006,Cristinel,Naumovich,Senior Engineer,Quality Management,53205
60436,d009,Munehiko,Vesna,Senior Staff,Customer Service,40000
60439,d004,Weiru,Basawa,Senior Engineer,Production,40138
60442,d005,Kwangsub,Hellwagner,Senior Engineer,Development,40000
60453,d007,Larisa,Gammage,Senior Staff,Sales,64242
60463,d004,Sanjiv,Dredge,Senior Engineer,Production,53616
60465,d009,Nalini,Gischer,Senior Staff,Customer Service,40000
60469,d007,Angel,Kampfer,Senior Staff,Sales,85944
60475,d004,Wanqing,Renear,Engineer,Production,40000
60479,d009,Stein,Byoun,Senior Staff,Customer Service,44162
60488,d005,Yakkov,Staylopatis,Senior Engineer,Development,55530
60490,d004,Teiji,Steenbeek,Technique Leader,Production,56343
60501,d005,Ranga,Badr,Senior Engineer,Development,40000
60505,d001,Yinghua,Birnbaum,Senior Staff,Marketing,54298
60510,d009,Divine,Nitsche,Staff,Customer Service,40000
60514,d004,Ayakannu,Vecchio,Senior Engineer,Production,70549
60518,d007,Ziya,Biran,Senior Staff,Sales,48127
60521,d007,Henk,Uhrik,Senior Staff,Sales,64334
60522,d008,Becky,Polupanov,Senior Engineer,Research,51557
60551,d005,Caolyn,Irland,Senior Engineer,Development,53167
60852,d008,Keung,Schneeberger,Senior Staff,Research,51778
60858,d008,Elgin,Foote,Engineer,Research,42338
60860,d003,Fuqing,Munch,Senior Staff,Human Resources,63231
60865,d005,Yuqun,Birge,Senior Engineer,Development,62219
60871,d002,Mitchel,Matzel,Senior Staff,Finance,46129
60890,d004,Fun,Schnabel,Engineer,Production,40000
60891,d006,Mingzeng,DeMori,Senior Engineer,Quality Management,40000
60894,d005,Lein,Fendler,Senior Engineer,Development,52840
60902,d004,Dekang,Lung,Engineer,Production,40000
60904,d007,Tomokazu,Gelosh,Staff,Sales,64065
60920,d006,Mara,Sundgren,Senior Engineer,Quality Management,40000
60930,d004,Larisa,Swiss,Senior Engineer,Production,57927
60944,d007,Renee,Pepe,Senior Staff,Sales,78585
60960,d004,Chikara,Flowers,Senior Engineer,Production,44083
60965,d007,Conrado,Loncour,Senior Staff,Sales,79864
60981,d004,Yuchang,Kalorkoti,Senior Engineer,Production,65154
60991,d007,Ung,Murthy,Senior Staff,Sales,76196
61149,d003,Aemilian,Stranks,Senior Staff,Human Resources,46357
61177,d005,Somnath,Bednarek,Senior Engineer,Development,51940
61179,d007,Berni,Kaltofen,Staff,Sales,76765
61180,d005,Nathalie,Sullins,Senior Engineer,Development,52754
61192,d005,Feiyu,Kamble,Senior Engineer,Development,49841
61197,d005,Roselyn,Cannard,Senior Engineer,Development,40000
61208,d005,Miomir,Hooghiemstra,Senior Engineer,Development,50944
61210,d007,Itzchak,Rehfuss,Senior Staff,Sales,47366
61211,d005,Lakshmi,Muntz,Senior Engineer,Development,40000
61214,d002,JoAnne,Peac,Staff,Finance,47194
61238,d002,Kagan,Schach,Senior Staff,Finance,52163
61244,d001,Xiaoqiang,Peternell,Staff,Marketing,46530
61256,d006,Duro,Schaar,Engineer,Quality Management,40000
61259,d007,Shao,Puoti,Senior Staff,Sales,46409
61261,d007,Ziya,Pocchiola,Senior Staff,Sales,62895
61264,d007,Shuzo,Sethi,Senior Staff,Sales,79270
61273,d007,Manohar,Hainaut,Senior Staff,Sales,73673
61568,d006,Uno,Birta,Senior Engineer,Quality Management,40000
61588,d007,Doohun,Byoun,Staff,Sales,65139
61589,d005,Chuanti,Demke,Senior Engineer,Development,57452
61593,d005,Masaru,Cochrane,Senior Engineer,Development,40000
61623,d005,Xiaoqiu,Luce,Senior Engineer,Development,48792
61624,d005,Doowon,Luef,Senior Engineer,Development,42133
61625,d005,Shugo,Rajcani,Senior Engineer,Development,40000
61626,d007,Mohit,Dulay,Senior Staff,Sales,58800
61627,d004,Uma,Beausoleil,Technique Leader,Production,42605
61634,d007,Shigehito,Panwar,Senior Staff,Sales,65862
61644,d008,Toney,Ladret,Senior Staff,Research,53693
61650,d004,Vitaly,Linnainmaa,Senior Engineer,Production,72738
61666,d004,Tesuro,Vasanthakumar,Senior Engineer,Production,40000
61667,d007,Domenico,Hasenauer,Senior Staff,Sales,77399
61673,d001,Krassimir,Krybus,Senior Staff,Marketing,66459
61675,d005,Takahiro,Schwartzburd,Senior Engineer,Development,40785
61676,d005,Valdiodio,Argence,Senior Engineer,Development,40000
61687,d002,Ravishankar,Maraist,Senior Staff,Finance,40000
61846,d005,Danil,Varley,Senior Engineer,Development,40000
61856,d004,Toney,Luby,Senior Engineer,Production,59270
61859,d004,Xiping,Schwaller,Senior Staff,Production,51303
61862,d003,Tremaine,Dulay,Staff,Human Resources,73204
61864,d001,Hironoby,Kamber,Senior Staff,Marketing,59715
61869,d009,Manu,Hemaspaandra,Senior Engineer,Customer Service,40000
61879,d005,Saniya,Steinauer,Senior Engineer,Development,43848
61897,d004,Jasminko,Kilgour,Senior Engineer,Production,44484
61910,d005,Gay,Bahk,Senior Engineer,Development,53721
61915,d003,Yongmin,Conta,Senior Staff,Human Resources,40000
61920,d003,Ghassan,Albarhamtoshy,Senior Staff,Human Resources,50457
61941,d005,Mohammed,Joslin,Senior Engineer,Development,74469
61943,d005,Gennadi,Tasistro,Senior Engineer,Development,52318
62137,d007,Rosalyn,Baalen,Senior Staff,Sales,46741
59109,d004,Tesuya,Morrey,Senior Engineer,Production,43715
59113,d001,Lillian,Debuse,Senior Staff,Marketing,75391
59121,d009,Quingbo,Trumbly,Senior Staff,Customer Service,42686
59123,d008,Margareta,Magalhaes,Senior Staff,Research,79438
